STRUCTURE_SMILES,ActivityOutcome_CPDBAS_MultiCellCall
NN,carcinogenic
C(C1=CC=CC=C1)(C2CCCCN2)C(OC)=O.[H]Cl,carcinogenic
O=S(C1=NC2=C(C=CC(=C2)OC)N1)CC3=C(C(=C(C=N3)C)OC)C,carcinogenic
N(NCCCC)CCCC.Cl.Cl,carcinogenic
N#[N+]C1=CC=CC=C1.O=S([O-])(O)=O,carcinogenic
O=NN(CC=C1)CC1,carcinogenic
N/C1=N/C(=O)N(/C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,carcinogenic
CC(=C)C=C,carcinogenic
NNC1=CC=CC=C1.[H]Cl,carcinogenic
N(N)(CCCC)C=O,carcinogenic
N(NCC=C)CC=C.[H]Cl.[H]Cl,carcinogenic
N(NC)C.[H]Cl.[H]Cl,carcinogenic
O=C(C(C)=C4N)C2=C(C4=O)[C@](COC(N)=O)([H])[C@@](N2C3)(OC)[C@@]1([H])N[C@@]31[H],carcinogenic
N1(=C2C(=CC(=C1)C3=CC=CC=C3)N(C(=N2)N)C).[H]Cl,carcinogenic
N1(C2=CC=CC=C2)C(C(N(CS(=O)(=O)[O-])C)=C(N1C)C)=O.[Na+],carcinogenic
[O-][N+](C1=CC=C(C2=CSC(NC(C)=O)=N2)O1)=O,carcinogenic
N1=CC=CC=C1,carcinogenic
[H][C@]12C3=CCN1CC[C@H]2OC(/C(CC([C@@](CO)(O)C(OC3)=O)=C)=C\C)=O,carcinogenic
N1=C(N=C(N(CO)CO)N=C1N(CO)CO)N(CO)CO,carcinogenic
N=C(N(CC)N=O)N[N+]([O-])=O,carcinogenic
O=[N+](C1=CC(=C(C=C1)C)N)[O-],carcinogenic
N#CN(CC)N=O,carcinogenic
NNC1=NC(C2=CC=C([N+]([O-])=O)C=C2)=CS1,carcinogenic
N=C(N)NC1=NC(CSCCNC2=NSN=C2N)=CS1,carcinogenic
N=C(N(N=O)C)N[N+](=O)[O-],carcinogenic
