STRUCTURE_SMILES,ActivityOutcome_CPDBAS_Rat
[Na+].[O-]C1=C(C=CC=C1)C2=CC=CC=C2,carcinogenic
N(CC(F)(F)F)(CC)N=O,carcinogenic
N#CN(CC)N=O,carcinogenic
N#CN(C)N=O,carcinogenic
N=C(N)NC1=NC(CSCCNC2=NSN=C2N)=CS1,carcinogenic
N=C(N(CCC)N=O)N[N+](=O)[O-],carcinogenic
N=C(C2=CC=C(N(C)C)C=C2)C1=CC=C(N(C)C)C=C1.[H]Cl,carcinogenic
N(N1CCCCC1C2=CC=CN=C2)=O,carcinogenic
N(CCCCO)(CCCC)N=O,carcinogenic
N(CCCCCCCCCC)(C)N=O,carcinogenic
N/C1=N/C(=O)N(/C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,carcinogenic
NC1=C(C=CC=C1)C(=O)OC/C=C/C2=CC=CC=C2,carcinogenic
N[C@@H](CCSCC)C(=O)O,carcinogenic
CN(C)CCN(CC2=CC=CS2)C1=NC=CC=C1.Cl,carcinogenic
N1C=CC=C(C=1)C2N(N=O)CCC2,carcinogenic
C1CO1,carcinogenic
NC(=O)C=C,carcinogenic
CNNCC1=CC=C(C=C1)C(=O)NC(C)C,carcinogenic
N1C2=C(C3=C1C=CC=C3)C(=NC(=C2)N)C.CC(=O)O,carcinogenic
N1=C(N=C(N(CO)CO)N=C1N(CO)CO)N(CO)CO,carcinogenic
N1/C(=N\C2=C(C1=S)N=CN2[C@]3(C([C@@]([C@](O3)(CO)[H])(O)[H])([H])[H])[H])N,carcinogenic
N1(C(=CN=C1C)[N+](=O)[O-])CCO,carcinogenic
S=C(N1CCOCC1)SN1CCOCC1,carcinogenic
OC1=C(C=C(C=C1Cl)Cl)Cl,carcinogenic
N12C3=C(C=CC(=N3)N)N=C1C=CC=C2,carcinogenic
N(CCCC(F)(F)F)(CCCC(F)(F)F)N=O,carcinogenic
F/C(F)=C(\F)F,carcinogenic
F[C@@]([C@](C=C4)(C)C3=CC4=O)2[C@@H](O)C[C@]([C@](C5)([H])[C@@]([H])2CC3)(C)[C@@]1([C@](CO)=O)[C@@H]5OC(C)(C)O1,carcinogenic
CP(=O)(OC)OC,carcinogenic
FCCl,carcinogenic
CC(NC1=CC=C(C2=CC=C(F)C=C2)C=C1)=O,carcinogenic
FC(F)(F)CNC(=N)Nc1ccn(CCCCC(N)=O)n1,carcinogenic
COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,carcinogenic
NCC1(CC(=O)O)CCCCC1,carcinogenic
