SMILES,"Blood-Brain-Barrier Penetration"
c12c(c(ccc1)Cl)C(N(Cc1n2cnc1c1nc(on1)[C@](CO)(C)O)C)=O,nonpenetrating
NCCc1cn2c(n1)cccc2,nonpenetrating
CCCN(CCC)CCc1ccc(c2c1CC(N2)=C)O,penetrating
c1(c2c(cc(F)cc2)on1)C1CCN(CCc2c(n3c([C@@H](CCC3)O)nc2C)=O)CC1,penetrating
c12c(C(c3ccccc3)=NCc3n1c(nn3)C)cc(Cl)cc2,penetrating
C1(\c2c(CCc3c1cccc3)cccc2)=C\CCN(C)C,penetrating
c12c(ncnc1O)[nH]nc2,penetrating
n1(c2ccccc2)n(c(C)cc1=O)C,penetrating
c1(c(cccc1)OC(C)=O)C(O)=O,penetrating
N(C(NCCCl)=O)(CCCl)N=O,penetrating
c12c(n(c(=O)n(c1=O)C)C)ncn2C,penetrating
N1(c2c(cccc2)C=Cc2c1cccc2)C(N)=O,penetrating
c1(N(CCCl)CCCl)ccc(CCCC(O)=O)cc1,nonpenetrating
N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN(C)C,penetrating
c1(c([nH]cn1)C)CSCCN\C(=[NH]\C#N)NC,nonpenetrating
c1(NC=2NCCN2)c(cccc1Cl)Cl,penetrating
c12[C@]34[C@@H]5[C@H]([N@@](C)CC4)Cc2ccc(c1O[C@H]3[C@@H](O)C=C5)OC,penetrating
N1(c2c(CCc3c1cccc3)cccc2)CCCNC,penetrating
n1(c2c(c(ncn2)O)nc1)[C@@H]1O[C@H](CO)CC1,nonpenetrating
n1(c2c(cc(Cl)cc2)[nH]c1=O)C1CCN(CCCn2c3c(cccc3)[nH]c2=O)CC1,penetrating
N1([C@@H](c2ccc(Cl)cc2)c2ccccc2)CCN(CCOCCO)CC1,penetrating
c1([C@@H](C(O)=O)C)ccc(CC(C)C)cc1,penetrating
c1c(c(ncc1)CCCCNc1nc(c(c[nH]1)Cc1ccc(nc1)C)=O)OC,nonpenetrating
N1(c2c(CCc3c1cccc3)cccc2)CCCN(C)C,penetrating
c12c(c(CC(O)=O)c(n1C(c1ccc(Cl)cc1)=O)C)cc(OC)cc2,nonpenetrating
c12c(C(N(Cc3n1cnc3c1noc(n1)C(C)C)C)=O)c(ccc2)Cl,penetrating
CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc(C)nc3)c[nH]2)o1,nonpenetrating
N(c1ccccn1)(Cc1ccc(OC)cc1)CCN(C)C,penetrating
N12[C@H](c3c(cccc3)Cc3c1cccc3)C[N@](C)CC2,penetrating
c12c(C(c3c(cccc3)F)=NCc3n1c(nc3)C)cc(Cl)cc2,penetrating
N12[C@H](c3c(cccc3)Cc3c1nccc3)C[N@](C)CC2,penetrating
N1(c2c(NC(c3c1nccc3)=O)c(ccn2)C)C1CC1,penetrating
C1NCCN(C1)c1ccc(c(n1)Cl)C(F)(F)F,penetrating
c1c2c(cc(c1)Cl)[C@@H]1[C@H](c3ccccc3O2)CNC1,penetrating
c1c2c(ccc1)[C@@]1([C@@H](c3cccc(c3O2)C)CNCC1)O,penetrating
c1ccc(c(c1)[C@H](CC=C)N)c1c2c(on1)cccc2,penetrating
c1c2c(ccc1)[C@@]1([C@@H](c3cccc(c3O2)C)C[N@](CC1)C)O,penetrating
c1c2c(cc(c1)Cl)[C@@H]1[C@H](c3ccccc3O2)CN(C1)C,penetrating
c12C(c3ccccc3)=N[C@H](O)C(Nc1ccc(c2)Cl)=O,penetrating
c1(oc([CH2+]SCCN\C(=C\[N+](=O)[O-])NC)cc1)CN(C)C,nonpenetrating
c1(c2c(cc(F)cc2)on1)C1CCN(CCc2c(n3c(CCCC3)nc2C)=O)CC1,penetrating
C1(C(NC(=[O-])NC1=O)=O)([C@H](CCC)C)[CH-]C,penetrating
c12[C@]3([C@H]([N@](C)CC3)N(c1ccc(c2)OC(Nc1ccccc1)=O)C)C,penetrating
c12[C@]3([C@@H](N(C)c1ccc(c2)OC(NC)=O)[N@](C)CC3)C,penetrating
N1(c2c(Sc3c1cccc3)cccc2)CCCN(C)C,penetrating
c1(c(cccc1)O)C(O)=O,nonpenetrating
c1c(c(ncc1Br)CCCCNc1nc(c(c[nH]1)Cc1ccc(nc1)C)=O)C,nonpenetrating
c12c(n(c(=O)n(c1=O)C)C)nc[nH]2,penetrating
N1(c2c(Sc3c1cccc3)ccc(c2)SC)CC[C@H]1[N@@](CCCC1)C,penetrating
C1[C@H]2[C@H]3[C@@H](C4=C(CC(=O)CC4)C[C@H]3C)CC[C@@]2([C@@](C#C)(O)C1)C,penetrating
c1(nc(NC(N)=[NH2])sc1)CSCCN\C(=[NH]\C#N)NC,penetrating
C(CCC)(CCC)C(=O)[O-],penetrating
c1([C@](CCC[N@](CCc2cc(c(OC)cc2)OC)C)(C(C)C)C#N)cc(c(OC)cc1)OC,penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCNc1nc2c(s1)cccc2,penetrating
n12c3c(C(c4c(cccc4)F)=NCc1cnc2CO)cc(Cl)cc3,penetrating
C(C)(Cl)(Cl)Cl,penetrating
C(CCl)(F)(F)F,penetrating
CC(CCC)C,penetrating
CC(CO)C,penetrating
CC(CC)(C)C,penetrating
CC[C@H](CCC)C,penetrating
CCC(CC)C,penetrating
c12c(C(c3c(cccc3)F)=N[C@@H](c3n1c(nc3)C)O)cc(Cl)cc2,penetrating
c1c(NC(C)=O)ccc(O)c1,penetrating
n1(c2ccccc2)c(c(N(C)C)c(n1C)C)=O,penetrating
C1(C(NC(=O)NC1=O)=O)(CCC(C)C)CC,penetrating
c1(ccc(CC(N)=O)cc1)OC[C@@H](CNC(C)C)O,nonpenetrating
c1ccccc1,penetrating
c12n(c3c(c(ccc3)Br)C(N3[C@H]1CCC3)=O)cnc2C(OC(C)(C)C)=O,penetrating
c1(C2(CCN(CCCC(c3ccc(F)cc3)=O)CC2)O)ccc(Br)cc1,penetrating
CCC(C)=O,penetrating
c12N(c3ccccc3)C(CC(N(c1ccc(c2)Cl)C)=O)=O,penetrating
C1CCCCC1,penetrating
C1CC1,penetrating
N1(c2c(CCc3c1cccc3)cccc2)CCCN,penetrating
C=1(c2c(N(C)C(CN1)=O)ccc(c2)Cl)c1ccccc1,penetrating
C(Cl)Cl,penetrating
CCOCC,penetrating
C=COC=C,penetrating
C([C@@H](F)Cl)(OC(F)F)(F)F,penetrating
C(C)O,penetrating
c1(ccccc1)CC,penetrating
n12c3c(C(=O)N(Cc1c(C(OCC)=O)nc2)C)cc(F)cc3,penetrating
c12C(c3c(cccc3)F)=[NH+]CC(N(c1ccc(c2)[N+](=O)[O-])C)=O,penetrating
c12N(c3c(cccc3)Sc1ccc(c2)C(F)(F)F)CCCN1CCN(CCO)CC1,penetrating
C(COC=C)(F)(F)F,penetrating
c1(C2(CCN(CCCC(c3ccc(F)cc3)=O)CC2)O)ccc(Cl)cc1,penetrating
C([C@@H](Cl)Br)(F)(F)F,penetrating
CCCCCCC,penetrating
CCCCCC,penetrating
C=1([C@]2(C(N(C(=O)NC2=O)C)=O)C)CCCCC1,penetrating
c12ccccc2C[C@H]([C@H]1NC([C@H](Cc1ccccc1)C[C@@H](CN1[C@@H](C[N@](Cc2cccnc2)CC1)C(NC(C)(C)C)=O)O)=O)O,penetrating
C([C@H](OC(F)F)Cl)(F)(F)F,penetrating
c12N(c3c(cccc3)Sc1ccc(c2)[S@@](C)=O)CC[C@H]1[N@@](CCCC1)C,penetrating
C1([C@](C(NC(N1C)=[O-])=O)([C@@H](C#CCC)C)CC=C)=[O-],penetrating
C(C(Cl)Cl)(OC)(F)F,penetrating
C1(CCCC1)C,penetrating
c12c3c(ccc1C[C@@H]1[C@@H]4C=C[C@@H]([C@@H]([C@]24CC[N@@]1C)O3)O)O,penetrating
N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCNC,penetrating
N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN,penetrating
N1(c2c(Sc3c1cccc3)ccc(c2)SC)CC[C@H]1NCCCC1,penetrating
C1N(CCN(C1)c1cc(ccn1)C(F)(F)F)CCCCN1C(CCC1)=O,penetrating
O=c1c2c([nH]c(=O)n1C)ncn2C,penetrating
CCCCC,penetrating
N1(N(c2ccccc2)C(=O)C(C1=O)CCCC)c1ccccc1,penetrating
c1([C@@]2(c3ccccc3)NC(=[O-])NC2=O)cccc[c-]1,penetrating
CCCO,penetrating
CC(C)=O,penetrating
c12c(OC[C@@H](CNC(C)C)O)cccc1cccc2,penetrating
c12c([C@@H]([C@@H]3[N@@]4C[C@H](C=C)[C@H](C3)CC4)O)ccnc1ccc(c2)OC,penetrating
c1c2c(sc1)C(N(Cc1n2cnc1C(=O)OC(C)(C)C)C)=O,penetrating
C1C(Nc2c1c(ccc2)CCN(CCC)CCC)=O,penetrating
C1C(Nc2c1c(ccc2O)CCN(CCC)CCC)=O,penetrating
N(C(=O)c1c(O)cccc1)CC(=O)O,penetrating
C[N@@]1CCCC[C@H]1CCN1c2ccccc2Sc2ccc(cc12)S(C)(=O)=O,penetrating
C([C@@H](F)Br)C(F)(F)F,penetrating
c12c(c([nH]c(n1C)=O)=O)n(C)cn2,penetrating
C1(C(C(NC(N1)=S)=O)([C@@H](CCC)C)CC)=O,penetrating
c1(ccccc1)C,penetrating
c12c(C(c3c(cccc3)Cl)=NCc3n1c(nn3)C)cc(Cl)cc2,penetrating
c12N(c3c(cccc3)Sc1ccc(c2)C(F)(F)F)CCCN1CCN(C)CC1,penetrating
C(=C\Cl)(\Cl)Cl,penetrating
C(Cl)(Cl)Cl,penetrating
c1c(nccc1)CCNC,penetrating
c1c(nccc1)CCN(C)C,penetrating
n1c(scc1)CCN,penetrating
n1c(scc1c1ccccc1)CCN,nonpenetrating
c1c(nc2n1cccc2)CCN,nonpenetrating
n1([C@H]2C[C@H](N=[N+]=N)[C@H](O2)CO)c([nH]c(=O)c([cH+]1)C)=O,penetrating
c1c(cccc1C)C,penetrating
c1(c(cccc1)C)C,penetrating
c1(ccc(C)cc1)C,penetrating
CC(C)O,penetrating
c12[C@@H]3[C@@H](c4c(cccc4)N(c1cccc2)C(N)=O)O3,penetrating
c12c(nc(c(c1C(N[C@@H](CC)c1ccccc1)=O)C)c1ccccc1)cccc2,penetrating
c1cc(ccc1CCCC(OC(C)(C)C)=O)N(CCCl)CCCl,penetrating
C(=C)(Cl)(Cl)Cl,penetrating
c1(ncccc1NC(C)C)N1CCN(C(c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)=O)CC1,nonpenetrating
C(c1ccccc1)(c1ccccc1)OC1CCN(CCCC(c2ccc(C(C)(C)C)cc2)=O)CC1,nonpenetrating
N1(c2c(NC(c3c1cccc3)=O)cccn2)C(CN1CCN(C)CC1)=O,penetrating
c12c(Sc3c(N1C[C@@H](N(C)C)C)cccc3)cccc2,penetrating
s1cc(CSCCN\C(NC)=[NH]\C#N)nc1\[NH]=C(\N)N,penetrating
c1cc(c2nc(sc2)CCN)ccc1,nonpenetrating
c1cc(CCNC)ncc1,penetrating
c1cc(CCN(C)C)ncc1,penetrating
s1c(ncc1)CCN,penetrating
c1nc(C2CCN(CC2)C(NC2CCCCC2)=S)c[nH]1,penetrating
c1ccc2Oc3c(cc(cc3)Cl)[C@@H]3[C@@H](c2c1)C[N@](CC3)C,penetrating
c1c(Cl)nc(N2CCN(CCCCN3C(CCC3)=O)CC2)cc1C(F)(F)F,penetrating
c1ccc2Oc3c(cc(cc3)Cl)[C@@H]3[C@@H](c2c1)CNCC3,penetrating
c1c(c(ncc1)CSCCN\C(=[NH]\C#N)NCC)Br,nonpenetrating
c1cc(ncc1)CSCCNc1c(cc[nH]1)[N+](=O)[O-],penetrating
c1(cc(nc(c1C)C)C(SC(CNc1c(cc[nH]1)[N+](=O)[O-])(C)C)(C)C)C,penetrating
n1c(csc1\[NH]=C(\N)N)c1ccccc1,penetrating
n1c(csc1\[NH]=C(\N)N)c1cccc(c1)N,nonpenetrating
n1c(csc1\[NH]=C(\N)N)c1cccc(c1)NC(C)=O,nonpenetrating
n1c(csc1\[NH]=C(\N)N)c1cccc(c1)N\C(NC)=[NH]\C#N,nonpenetrating
s1cc(nc1\[NH]=C(\N)N)C,penetrating
c1(c(oc(c1C)C(N(C(C)(N)C)C(N)(C)C)(C)C)C)C.C[NH+]O.[OH-],penetrating
[NH]C(CC(C)C([N@@](C(C)(C)C)C(N)(C)N)(C)C)c1c(c(c[nH+][o+]1)C)[O-],penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCNC(=O)C,penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCNC(=O)c1ccccc1,penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCO,penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCNc1ncccc1,penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCNc1nccs1,penetrating
C1CN(CCC1)Cc1cccc(c1)OCCCNc1nc2c(o1)cccc2,penetrating
c1c(oc(c1)CN(C)C)CSCCNc1nc(c(c[nH]1)Cc1cc2c(cc1)cccc2)=O,nonpenetrating
CN(C)Cc1oc(cc1)CSCCNC=1NC=C(CN1)Cc1cnc(cc1)C,nonpenetrating
c1(nccc(c1)c1nc([nH]n1)N)N(C)C,nonpenetrating
n1(c(c2nc[nH]c2n(c1=O)C)=O)C,penetrating
c1c2CCOc2c(cc1OC)CN[C@@H]1CCCN[C@H]1c1ccccc1,penetrating
c1(cc(N\C(=[NH]\c2cccc(c2)CC)C)ccc1)CC,penetrating
c1(c(cc2n(ncc2c1)CCN)Cl)Cl,penetrating
c12c(n([C@@H]3C[C@H](CO)C=C3)cn2)nc(N)nc1NC1CC1,penetrating
c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OC[C@@H](CNC(C)C)O,penetrating
c12c(ncn1COCCO)c([nH]c(n2)N)=O,penetrating
c12c(nc([nH]1)NC(OC)=O)cc(SCCC)cc2,penetrating
C12(CC3CC(C1)CC(C2)C3)N,penetrating
c1(ccccc1)C[C@H](C)N,penetrating
S(CCNCCCN)P(O)(O)=O,nonpenetrating
O([C@H]1[C@@H](C[C@H](N)[C@H]([C@@H]1O)O[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CN)NC([C@H](CCN)O)=O)[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)N)CO,penetrating
c1(c(cc(N)cc1)O)C(O)=O,nonpenetrating
n1([C@@H]2O[C@H](CO)[C@H]([C@H]2O)O)c(nc(N)cc1)=O,penetrating
c1(c(nc[nH]1)C(N)=O)\N=N\N(C)C,penetrating
c12c([C@H](C[C@@](C2)(C(C)=O)O)O[C@H]2C[C@@H]([C@H](O)[C@@H](O2)C)N)c(c2C(c3c(cccc3C(c2c1O)=O)OC)=O)O,nonpenetrating
C1[C@@H]2[C@](C(=C3C(c4c(ccc(c4[C@H]([C@@H]13)O)Cl)O)=O)O)(C(C(C(N)=O)=C([C@H]2N(C)C)O)=O)O,nonpenetrating
Clc1ccc2NC(=O)CC(=O)N(c3ccccc3)c2c1,penetrating
C=1(c2c(NC(CN1)=O)ccc(c2)Cl)c1ccccc1,penetrating
N1(c2c(Sc3c1cccc3)cccc2)CCCNC,penetrating
N1(C[C@@H](N2CC(NC(C2)=O)=O)C)CC(NC(C1)=O)=O,nonpenetrating
c12[C@@]34[C@@H]([C@H]([N@@](C)CC3)Cc1ccc(c2)OC)CCCC4,penetrating
N12[C@]([C@@H]3CCCN3C([C@@H]1Cc1ccccc1)=O)(OC(NC([C@@H]1C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3[N@@](C1)C)=O)(C)C2=O)O,nonpenetrating
N(C(SSC(N(CC)CC)=S)=S)(CC)CC,penetrating
c12c([C@H](C[C@@](C2)(C(CO)=O)O)O[C@H]2C[C@@H]([C@H](O)[C@@H](O2)C)N)c(c2C(c3c(cccc3C(c2c1O)=O)OC)=O)O,nonpenetrating
C=1([C@]2([C@H]([C@@H](C(O)=C(C2=O)C(N)=O)N(C)C)[C@H]([C@@H]2[C@H](c3cccc(c3C(C12)=O)O)C)O)O)O,penetrating
c12[C@](C#CC3CC3)(OC(=O)Nc1ccc(c2)Cl)C(F)(F)F,nonpenetrating
N1([C@@H](CCC1)C(O)=O)C([C@@H](N[C@@H](CCc1ccccc1)C(OCC)=O)C)=O,nonpenetrating
c1(cc(c(O)cc1)O)[C@H](CNC)O,nonpenetrating
c1(c(c(c(OCC(O)=O)cc1)Cl)Cl)C(C(CC)=C)=O,nonpenetrating
N([C@H](CC)CO)CCN[C@H](CC)CO,nonpenetrating
c1(cc(ncc1)CC)C(N)=S,penetrating
