SMILES,Mutagenicity
COC1=CC=C(C=C1)C2=NC(=C([NH]2)C3=CC=CC=C3)C4=CC=CC=C4,active
CC1=C(C=CC=C1N=C=O)N=C=O,active
OCCC1=C[N](N=O)C2=CC=CC=C12,active
[O-][N+](=O)C1=CC(=CS1)C(=O)NC2=CC(=CC=C2)Br,active
CN(N=O)C1=CC=CC=C1,active
CN2C1=C(C=CC=C1)C(=O)C3=C2C4=C(C=C3O)OC(C4)C5(C)CO5,active
CS(=O)(=O)NC1=CC=C(C=C1)NC3=C2C=CC=CC2=NC4=CC=CC=C34,active
[O-][N+](=O)C1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,active
OC1=C(C=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,active
C[N]2C(=NC3=C1N=CC=NC1=C(C)C(=C23)C)N,active
CSC1=C(C(=C(C(=C1)SC)N)C)N,active
OC1=CC4=C(C=C1)C3=CC2=CC=CC=C2C=C3C5=CC=CC=C45,active
CC(=O)C(Br)=C,active
NCCNCCNCCN,active
CN(C)C1=CC=C(C=C1)CCO,active
COC4=CC(=O)C3=C2[NH]C1=CC=NC=C1C2=CN=C3C4=O,active
N1C3C1C2=CSC=C2C4=CSC=C34,active
CC1=C(C=C(C(=C1)N=NC2=CC=CC=C2)N)N,active
NC3=CC2=NC1=CC(=CC=C1C=C2C=C3)N,active
[O-][N+](=O)C3=C1CCC2=CC=CC(=C12)C=C3,active
NC1=CC=C(C=C1)C=CC2=CC=C(C=C2)[N+]([O-])=O,active
COC(=O)C1(OC1(C)C(O)C(C)C)C(N)=O,active
CC(I)C1OCC(CO)O1,active
CN(C)CCNC(=O)C3=C2N=C1C=CC=CC1=NC2=CC=C3,active
CC1=C(C=C(C=C1)N)C,active
CC1=C3C(=CC=N1)C2=CC=CC=C2[NH]3,active
OC1CN(CCO1)N=O,active
[O-][N+](=O)C1=C(C=CC=C1)C(Cl)=O,active
ClCCOP(OCCCl)OCCCl,active
COC(=O)NC2=NC1=CC=CC=C1[NH]2,active
CCOC(=O)N(CCCC(=O)C1=CN=CC=C1)N=O,active
C1CSCCS1,active
NC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,active
NNC2=C1C=CC=CC1=C(N=N2)NN,active
C[N]3C(=NC4=CC=C2C=CC1=CC=C(O)C=C1C2=C34)C,active
CC(=O)OC1=CC=C(C=C1)CCl,active
NC1=CC=C(C=C1)OC2=CC=C(C=C2)[N+]([O-])=O,active
[O-][N+](=O)C1=CC=C(C=C1)C2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O,active
COC1=C(C=CC=C1)[N+]([O-])=O,active
C1=CC2=C(C=C1)C4=C(C=C2)C3=NC=CC=C3C=C4,active
OC2=C3C=CC4=CC=C(C5=C1C=CC=CC1=C(C=C2)C3=C45)[N+]([O-])=O,active
[O-][N+](=O)C1=CC(=C(C(=C1)[N+]([O-])=O)Cl)[N+]([O-])=O,active
[O-][N+](=O)C1=C3C(=CC=C1)C2=CC=CC=C2C(O3)=O,active
CC3=C2C1=CC=CC=C1C=CC2=C(C4=CC=CC=C34)CO,active
CC3=C2C=CC1=CC=CC=C1C2=CC4=CC=CC=C34,active
CC1=CC=C(C=C1)S(=O)(=O)OCC2=CC=C(C=C2)[N+]([O-])=O,active
CN1CCN(CC1)C5=CC(=O)C2=C(C4=C(C(=N2)C)C3=CC=CC=C3[NH]4)C5=O,active
CC1=C(C3=C(C=C1)C(=O)C2=C(C=CC=C2)C3=O)O,active
CC2C1=C(C=CC(=C1)F)C3=C2C=C(C=C3)F,active
O=NC1=CC3=C(C=C1)C2=CC=CC=C2C3,active
OC3C1OC1C2=C4C(=C(C=C2)O)C7=C5C(=C34)C(=CC=C5C6OC6C7=O)O,active
OC(=O)C1=CC(=C(C=C1)Cl)[N+]([O-])=O,active
N(C1=CC=CC=C1)C2=CC=C(C=C2)NC3=CC=CC=C3,active
C[N+]3=C2C=CC1OC1C2=CC=C3,active
COC1=C(C=C(C=C1)N)N,active
CC(=O)NC1=CC=C(C=C1)C(=O)C2OC2C3=CC=CC=C3,active
C[N]1C(=NC2=C1C=C(C)C3=NC(=CN=C23)C4=CC=CC=C4)N,active
[O-][N+]([O-])=C1CCCC1,active
COC2=C1OC(=CC1=C(C=C2)N(CCCl)CCCl)[N+]([O-])=O,active
COC3=C(C=C2N=C1C=C(C(=CC1=NC2=C3)N)OC)N,active
C[N]2C(=NC3=NC1=CC=CC=C1C=C23)N,active
OC5C(O)C4=C(C3=NC2=C1C=CC=CC1=CC=C2C=C3C=C4)C6OC56,active
NC3=C2C=C1C=CC=CC1=NC2=CC=C3,active
[O-][N+](=O)C1=CC4=C2C(=C1)CCC3=C2C(=CC(=C3)[N+]([O-])=O)CC4,active
[O-][N+](=O)C3=CC2=NC1=CC=CC=C1N=C2C=C3,active
CCOP(=O)(OC1=CC=C(C=C1)[N+]([O-])=O)C2=CC=CC=C2,active
[O-][N+](=O)C3=C2C=CC1=CC=CC4=C1C2=C(C=C3)C(=O)C4=O,active
CC(C)S(Cl)(=O)=O,active
CC3=C2C1=CC=CC=C1[NH]C2=CC(=N3)N,active
ClCC(Cl)CBr,active
CC2=C(N=C1C(=C(C=CC1=N2)N)C)C,active
CC1=CC4=C(C=C1)C5=C2C=CC=CC2=CC6=C3C=CC=CC3=CC4=C56,active
NC1=CC(=CC=C1)[N+]([O-])=O,active
[O-][N+](=O)C2=C1SN=C(C1=CC=C2)Cl,active
[O-][N+](=O)C4=C2C=CC=C3C1=CC=CC=C1C(=C23)C(=C4)[N+]([O-])=O,active
[O-][N+](=O)C1=C(C=CC=C1)SSC(Cl)=C(Cl)Cl,active
CN(C)CCCNC2=C1C(=CC=C(C1=NC3=CC=CC=C23)Cl)[N+]([O-])=O,active
COC4=CC(=O)C3=C2[NH]C1=C(CCCC1)C2=C(C)N=C3C4=O,active
CC=CC=O,active
C[N+]2=C1C=CC(=CC1=CC3=CC=CC=C23)N,active
CC(=O)ON(C(C)=O)C1=CC=C(C=C1)SC2=CC=CC=C2,active
CC1C=C(C=O)C(=CC2(O)CC(C)(C)CC12)C=O,active
C1=CC2=C(C=C1)C3=CC=C4C=CC=C5C=CC(=C2)C3=C45,active
ClC2=C1C=CC=CC1=CC=C2,active
C2C1=C(C=CC=C1)C3=C2C4=C(C=C3)C=CC5=C4C=CC=C5,active
CC1=C(C=CC(=C1)N)N,active
COC1=CC(=C(C=C1)OC)N=NC3=C2C=CC=CC2=CC=C3O,active
CN(C)C1=CC=C(C=C1)N=NC3=C2C=CC=CC2=CC=C3,active
COP(=O)(OC)OC,active
ClC(Cl)C#N,active
[O-][N+](=O)C1=CC2=C(C=C1)NCC2,active
[O-][N+](=O)C1=CC(=CS1)C(=O)NC2=C(C=CC=C2)F,active
C[N]1C(=NC=C1[N+]([O-])=O)C2NC(CO)(CO)CO2,active
COC1=C(C=CC(=C1)O)NC3=C2C=CC=CC2=NC4=CC=CC=C34,active
COC(=O)C1=C(C=CC=C1)O,active
O1C4C1C2=C(C=CC3=CC=CC=C23)C5=C4C=CC=C5,active
CC1=CC(=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,active
O=C5C=C3C2=C(C=C1C=CC=CC1=C2)C4=C3C(=CC=C4)C5=O,active
[O-][N+](=O)C1=CC=C(O1)C=CC=NN2CC(=O)NC2=O,active
C[N]1C(=NC2=NC=C(C=C12)C3=CC=CC=C3)N,active
BrC(=C)C=O,active
CC(=O)NC(CSC(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(O)=O,active
[O-][N+](=O)C2=C1C(=CC=CC1=CC=C2)[N+]([O-])=O,active
COC4=C1C5=C(C(OC1=C3C2C=COC2OC3=C4)=O)C(CC5)O,active
CC(=C)C2=CC=C(C)C1=CC=C(C=O)C1=C2,active
CC1=CC=C[N]2C1=NC3=CC=C(N)N=C23,active
C1=CC2=C(C=C1)C3=CN=C4C=CC=C5C=CC(=C2)C3=C45,active
COC(=O)C(=CC1=CC=C(O1)[N+]([O-])=O)[N+]([O-])=O,active
ClCC4=CC=C3C2=C1C(=CC=CC1=CC=C2)C3=C4,active
[O-][N+](=O)C1=CC(=C(C=C1)Cl)[N+]([O-])=O,active
COC(=O)C(=CC1=CC=C(O1)[N+]([O-])=O)C#N,active
C(N1C3C1C2=C(C=CC=C2)C4=C3C=CC=C4)C5=CC=CC=C5,active
OC1C(O)C5=C4C2=C1C=CC=C2C3=CC=CC=C3C4=C(C=C5)[N+]([O-])=O,active
CN(C)C1=CC=C(C=C1)C=CC2=CC(C=C(C)O2)=C(C#N)C#N,active
CCCCOCC1CO1,active
OC(=O)C=CC1=CC(=CC=C1)[N+]([O-])=O,active
NC(O)=NO,active
FCC1CO1,active
ClC(C(=O)NCC1=CC=CC=C1)C2=CC=CC=C2,active
CC1(C)CC(O)CC(C)(C)N1O,active
CC(=O)NC1=CC=C(C=C1)SC2=CC=CC=C2,active
OC1=C(C=CC=C1)NC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O,active
CCC(=O)N(O)C1=CC=C(C=C1)C2=CC=CC=C2,active
O=CC1CC(=O)C(=O)CO1,active
C(COCC1CO1)OCC2CO2,active
C1CN1,active
OCC(CBr)(CBr)CBr,active
