SMILES,Mutagenicity
O=C1c2ccccc2C(=O)c3c1ccc4c3[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c%10C(=O)c%11ccccc%11C(=O)c%10ccc9c8c45,non-mutagenic
NNC(=O)CNC(=O)\C=N\#N,mutagenic
O=C1NC(=O)\C(=N/#N)\C=N1,mutagenic
NC(=O)CNC(=O)\C=N\#N,mutagenic
CCCCN(CC(O)C1=C\C(=N/#N)\C(=O)C=C1)N=O,mutagenic
NC(COC(=O)\C=N/#N)C(=O)O,mutagenic
CCN(CC(O)C1=CC(=O)\C(=N\#N)\C=C1)N=O,mutagenic
CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C,non-mutagenic
Nc1nc(N)nc(N)n1,non-mutagenic
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-],mutagenic
CC(C)CC(=O)Nc1snc2ccccc12,non-mutagenic
Cc1cccc(c1C)[N+](=O)[O-],mutagenic
CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,non-mutagenic
CCC[N+](=O)[O-],non-mutagenic
OC(=O)c1cc(cc2cccnc12)[N+](=O)[O-],mutagenic
OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,mutagenic
NC(=O)Nc1nc2ccccc2[nH]1,mutagenic
C[C@@H](O)CCC(=O)c1cocc1,non-mutagenic
Nc1ccc2c(oc3ccccc23)c1,mutagenic
Cc1ccc2ccc3ccc(C)cc3c2c1,mutagenic
Cc1cc2c(nc(N)n2C)c3ncc(nc13)c4ccccc4,mutagenic
CCN(N=O)\C(=N\O)\C=O,mutagenic
NNc1nnc(NN)c2ccccc12,mutagenic
C=CC(=O)NCNC(=O)C=C,mutagenic
OCc1cc2c3ccccc3c4cccc(c1)c24,non-mutagenic
Cc1ccccc1c2ccccc2,non-mutagenic
CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C68C(=O)c9c(O)cc(C)cc9C(=O)C248,non-mutagenic
Cc1nc(N)nc(N)n1,non-mutagenic
CCNc1nc(N)nc(Cl)n1,non-mutagenic
C1CCC(CC1)N2C3C2c4ccccc4c5ccccc35,mutagenic
CCCCB(CCCC)CCCC,mutagenic
CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O,mutagenic
CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,mutagenic
CCNN=NCC,mutagenic
Oc1cccc(c1)[N+](=O)[O-],mutagenic
[O-][N+](=O)c1ccc2c(c1)c3cccc4cccc2c34,mutagenic
OCc1occc1,non-mutagenic
C(Cc1ccc(cc1)c2ccccc2)[C@H]3CO3,mutagenic
Oc1cc2c3ccccc3ccc2c4ccccc14,mutagenic
Oc1ccc2ccccc2c1N=Nc3ccccc3,mutagenic
