SMILES,LC50_mol/L
BrC(Br)Br,0.00018197008586099826
BrC=C(Br)Br,4.677351412871981e-05
Brc1ccc(c(c1)Br)Oc1cc(Br)c(cc1Br)Br,9.571940712948441e-08
Brc1ccc(c(c1)Br)Oc1ccc(cc1Br)Br,1.892343618644976e-07
Brc1ccc(cc1)Oc1ccccc1,1.0495424286523221e-06
C/C=C(\C(=O)OC1CC(OC(=O)C)C2(C3C41COC(C4C(C)(C(C3OC2)O)C12OC2(C)C2CC1OC1C2(O)C=CO1)(O)C(=O)OC)C(=O)OC)/C,8.629785477669702e-07
C/C=C/c1ccc(cc1)OC,4.6025657358135626e-08
C1=CC2C(C1)C1C=CC2C1,7.943282347242822e-05
C1CCC=CC1,0.00011455129414455361
C1CCCC1,0.00015523870099580817
C1CCCCC1,4.5708818961487516e-05
C1CCCNC1,0.0001174897554939529
C=C/C=C/CC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)/C=C(/C(=O)OC)\C,4.255984131337426e-08
C=CC#N,0.00016595869074375615
C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(C(C1O)C)C2C(=O)CC3,7.726805850957021e-05
C=Cc1ccccc1,0.00029308932452503213
CBr,2.3334580622810045e-05
CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,2.027682719521284e-08
CC(=O)C,0.21232444620002192
CC(=O)CC(=O)C,0.00047533522594280533
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,0.0011091748152624009
CC(=O)Nc1ccc(cc1)O,6.081350012787176e-05
CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,0.002552701302661247
CC(C1OCC=CCO1)C,0.0053456435939697195
CC(CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C)C,1.096478196143185e-06
CC(CCCCCCCCCCNCCCCCCCCCCC(C)C)C,2.904022654464451e-07
CC(CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1)C,7.943282347242822e-08
CC(CCC(C(C1CCC2(C1(C)CCC1C2=CC(=O)C2C1(C)CC(O)C(C2)O)O)(O)C)O)C,3.7670379898390854e-07
CC(Cc1ccc(cc1)C(C(=O)O)C)C,4.415704473533121e-05
CC(Cc1ccc(cc1)C(C)(C)C)CN1CCCCC1,1.9010782799232996e-06
CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,7.906786279998245e-06
CC(Cl)(Cl)Cl,0.00019142559250210858
CC(Cl)(Cl)F,0.0002648500138606701
CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,3.483373150360116e-07
CC(NC(C)C)C,0.004446312674691089
CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,0.0011015393095414145
