SMILES,-log10(LC50[mol/L])
BrC(Br)Br,3.740
BrC=C(Br)Br,4.330
Brc1ccc(c(c1)Br)Oc1cc(Br)c(cc1Br)Br,7.019
Brc1ccc(c(c1)Br)Oc1ccc(cc1Br)Br,6.723
Brc1ccc(cc1)Oc1ccccc1,5.979
C/C=C(\C(=O)OC1CC(OC(=O)C)C2(C3C41COC(C4C(C)(C(C3OC2)O)C12OC2(C)C2CC1OC1C2(O)C=CO1)(O)C(=O)OC)C(=O)OC)/C,6.064
C/C=C/c1ccc(cc1)OC,7.337
C1=CC2C(C1)C1C=CC2C1,4.100
C1CCC=CC1,3.941
C1CCCC1,3.809
C1CCCCC1,4.340
C1CCCNC1,3.930
C=C/C=C/CC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)/C=C(/C(=O)OC)\C,7.371
C=CC#N,3.780
C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(C(C1O)C)C2C(=O)CC3,4.112
C=Cc1ccccc1,3.533
CBr,4.632
CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,7.693
CC(=O)C,0.673
CC(=O)CC(=O)C,3.323
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,2.955
CC(=O)Nc1ccc(cc1)O,4.216
CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,2.593
CC(C1OCC=CCO1)C,2.272
CC(CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C)C,5.960
CC(CCCCCCCCCCNCCCCCCCCCCC(C)C)C,6.537
CC(CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1)C,7.100
CC(CCC(C(C1CCC2(C1(C)CCC1C2=CC(=O)C2C1(C)CC(O)C(C2)O)O)(O)C)O)C,6.424
CC(Cc1ccc(cc1)C(C(=O)O)C)C,4.355
CC(Cc1ccc(cc1)C(C)(C)C)CN1CCCCC1,5.721
CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,5.102
CC(Cl)(Cl)Cl,3.718
CC(Cl)(Cl)F,3.577
CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,6.458
CC(NC(C)C)C,2.352
CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,2.958
CC(c1cc(/N=N/c2ccc(cc2)S(=O)(=O)c2ccc(cc2)/N=N/c2cc(C(C)C)c(cc2C)O)c(cc1O)C)C,5.440
CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,4.838
CC(c1ccc(cc1)Cl)c1ccc(cc1)Cl,6.858
CC(c1ccc(cc1)O)(CC(C)(C)C)C,6.360
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,4.301
CC(c1ccccc1)C,3.772
CCc1ccccc1N,4.179
CC1=CC(=O)CC(C1)(C)C,3.061
CC1=CC=C(CC1)C(C)C,4.867
CC1=CCC(CC1)C(=C)C,5.373
CC1=CCC2CC1C2(C)C,3.522
CC=O,0.550
CCC(=O)Nc1ccc(c(c1)Cl)Cl,4.714
CCC(=O)O,3.170
CCC(C(CO)C)O,1.220
CCC(Cl)Cl,3.631
CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,3.725
CCC(c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])C,6.000
CCC(c1ccccc1OC(=O)NC)C,6.320
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,2.201
CCC=O,2.815
CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,3.819
CCCC(=O)O,3.160
CCCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl,4.720
CCCC1OC2C(O1)(C(=O)CO)C1(C(C2)C2CCC3=CC(=O)C=CC3(C2C(C1)O)C)C,4.333
CCCCC,3.870
CCCCC(=O)O,3.358
CCCCC(C(=O)O)CC,3.080
CCCCC(CO)CC,3.115
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC,5.749
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,4.550
CCCCC(COP(=O)(Oc1ccccc1)Oc1ccccc1)CC,6.383
CCCCCC,4.340
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,4.850
CCCCCCCCCc1ccc(cc1)O,6.064
CCCCCCCCc1ccc(cc1)O,6.360
CCCCCCCCn1sccc1=O,6.074
CCCCCCCO,3.226
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O,2.626
CCCCN(C(=O)SCCC)CC,4.474
CCCCN=C=S,5.429
CCCCNC(=O)OCC#CI,6.848
CCCCNC(=S)N,3.850
CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.878
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,5.190
CCCCOCCCC,3.700
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,5.291
CCCCOP(=O)(Oc1ccccc1)OCCCC,6.042
CCCCc1ccccc1,5.548
CCCN(C(=O)SCC)CCC,4.608
CCCN(C(=S)SSC(=S)N(CCC)CCC)CCC,6.188
CCCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CCC,6.240
CCCO,0.935
CCCOC(=O)NCCCN(C)C,3.250
CCCS,6.102
CCCSP(=O)(SCCC)OCC,6.579
CCCSc1ccc2c(c1)nc([nH]2)NC(=O)OC,7.044
CCN(c1nc(cc(n1)C)OP(=S)(OC)OC)CC,9.140
CCN=C=S,5.308
CCNC(=S)NCC,2.838
CCNC(=S)Nc1ccccc1,3.351
CCNc1nc(NCC)nc(n1)Cl,3.331
CCNc1nc(nc(n1)Cl)NC(C#N)(C)C,6.447
CCO,0.590
CCOC(=O)C(OC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)C(F)(F)F)C,5.030
CCOC(=O)CC,2.827
CCOC(=O)CC(=O)OCC,2.899
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,8.349
CCOC(=O)c1ccccc1C(=O)OCC,3.603
CCOC(=O)c1ocnc1C,2.668
CCOCC,1.730
CCOP(=O)(Oc1ccc(cc1)[N+](=O)[O-])OCC,9.141
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,6.442
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,8.564
CCOP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OCC,8.150
CCOP(=S)(Oc1nc(Cl)c(cc1Cl)Cl)OCC,8.849
CCOP(=S)(SCSC(C)(C)C)OCC,8.207
CCOc1cc(ccc1C(=O)OC)NC(=O)C,3.072
CCOc1ccc2c(c1)C(=CC(N2)(C)C)C,5.036
CCP(=S)(Sc1ccccc1)OCC,7.483
CCS,5.562
CCSC(=O)N1CCCCCC1,4.437
CCSCSP(=S)(OCC)OCC,7.128
CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)O,3.277
CCC1OC(=O)C(C)C(OC2OC(C)C(C(C2)(C)OC)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(CN(C(C(C1(C)O)O)C)C)C)(C)O,3.795
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(C(O2)C)O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(CC(C(=O)C(C(C1(C)O)O)C)C)(C)OC,4.602
CCc1ccc(cc1)C(=O)NN(C(C)(C)C)C(=O)c1cc(C)cc(c1)C,4.307
CCc1ccc(cc1)N,6.130
CCc1ccc(nc1)C,3.481
CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,4.632
CCN1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c12,3.432
CN(C(=O)N(C)C)C,1.601
CN(C(=O)Oc1nc(nc(c1C)C)N(C)C)C,7.037
CN(C(=S)N(C)C)C,2.232
CN(C(=S)N)C,3.392
CN(C(=S)SC(=S)N(C)C)C,4.858
CN(C(=S)SSC(=S)N(C)C)C,6.059
CN(C(CSC(=O)N)CSC(=O)N)C,7.378
CN(P(=O)(N(C)C)N(C)C)C,1.430
CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)c(Cl)ccc2O)O)O)C,3.573
CN(C1C(=C(C(=O)N)C(=O)C2(C1CC1C(=C2O)C(=O)c2c(C1(C)O)cccc2O)O)O)C,6.430
CN(c1ccccc1)C,4.385
CN(c1ccccc1)C(=S)N,3.298
CN/C(=C/[N+](=O)[O-])/NCCSCc1ccc(o1)CN(C)C,2.685
CN1CCCC1c1cccnc1,4.733
CC1COc2c(N3CCN(C)CC3)c(F)cc3C(=O)C(=CN1c23)C(O)=O,3.674
CN1CN(C)CSC1=S,5.470
CNC(=O)/C=C(/OP(=O)(OC)OC)\C,5.760
CNC(=O)CSP(=S)(OC)OC,5.130
CNC(=O)O/N=C(/C(=O)N(C)C)\SC,5.120
