SMILES,-log10(LC50[mol/L])
ClCCOC(=O)NC1CCCCC1,3.770
Nc1ccc(cc1)N(=O)=O,3.115
Oc1ccc(cc1)N(=O)=O,3.531
O=Cc1ccc(cc1)N(C)C,3.510
O=N(=O)c1ccc(cc1)N(=O)=O,5.390
OCCN(CC)CC,1.819
CCc1ccccc1,3.947
C=Cc1ccccc1,3.513
ClCc1ccccc1,4.402
NCc1ccccc1,3.021
N#Cc1ccccc1,3.210
OCc1ccccc1,2.371
O=Cc1ccccc1,3.919
CNc1ccccc1,3.030
ON=C1CCCCC1,2.736
N#Cc1ccccn1,2.157
CCc1ccccn1,2.413
OCC1COC(O1)(C)C,0.898
C1N2CN3CN1CN(C2)C3,0.450
CCOc1ccc(cc1)C=O,3.733
OC(=O)CN(CC(=O)O)CC(=O)O,2.976
O=C(Nc1ccc(c(c1)Cl)Cl)Nc1ccc(cc1)Cl,6.535
Brc1ccc(cc1)Oc1ccccc1,5.643
c1ccc(cc1)Oc1ccccc1,4.629
O=N(=O)c1cc(N(=O)=O)c(c2c1cccc2)O,4.838
S=C(Nc1ccccc1)Nc1ccccc1,4.081
CCNc1cccc(c1)C,3.436
CCCN(CCC)CCC,3.450
OCCN(CCO)CCO,1.102
O=N(=O)c1ccc(c(c1C)N(=O)=O)N,4.257
N#CC(C(=O)N)(Br)Br,5.386
CC(CCc1ccccc1)(O)C,3.393
OCCN1CCNCC1,1.308
CN(Cc1ccccc1)C,3.554
CC(=O)Nc1ccc(cc1)O,2.269
CCCCc1ccc(cc1)N,4.165
CCCCCCCCCc1ccc(cc1)O,5.896
CCCCc1ccccc1,4.829
O=CC=Cc1ccccc1,4.590
CCCCCCCC1CCC(=O)O1,2.092
CCCCC(CO)CC,3.665
O=Cc1ccc(cc1)C,3.560
O=Cc1ccc(cc1)Cl,4.805
CCc1ccc(nc1)C,3.174
CC(=CC1C(C1(C)C)C(=O)OCc1coc(c1)Cc1ccccc1)C,7.899
CCN(CCCC(=O)C)CC,2.670
CCOC(=O)CC(=O)OCC,4.016
Cc1ccc(c(c1)C)O,3.857
CCCCOC(=O)C=CC(=O)OCCCC,5.522
CCCCOC(=O)CCCCC(=O)OCCCC,4.851
O=CCC(CCC=C(C)C)C,3.840
OCC=C(CCC=C(C)C)C,4.586
Brc1ccc(cc1)Br,5.284
Nc1ccc(cc1)Br,3.559
Cc1ccc(cc1)C,4.091
Cc1ccc(cc1)Cl,4.330
Cc1ccc(cc1)O,3.755
Clc1ccc(cc1)Cl,4.552
Nc1ccc(cc1)Cl,3.620
Oc1ccc(cc1)Cl,4.459
Cc1ccc(cc1)N,2.827
O=C1C=CC(=O)C=C1,6.380
C=CC(=O)OCC(C)C,4.786
ClCC1CO1,3.861
CCCBr,3.262
C=CC=O,6.297
ClCC=C,3.546
ClCCCl,2.920
OCCCl,3.203
CCCN,2.283
CCC#N,1.559
C=CC#N,3.470
ClCC#N,4.748
NCCN,2.576
OCC=C,5.259
OCC#C,4.564
ClCC=O,4.370
OCCO,0.053
O=CC=O,2.381
CC=NO,2.891
CC(CC(O)(C)C)O,1.088
CC(CC(N)(C)C)(C)C,3.721
CC(SC(C)(C)C)(C)C,3.701
CCOP(=O)(OP(=O)(OCC)OCC)OCC,6.083
CCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCCCC)(C)C,4.628
O=CCC(CCCC(O)(C)C)C,3.700
CCCC(=O)C,1.842
OC(=O)CNCP(=O)(O)O,3.396
Nc1ccc(cn1)Br,2.990
CC(=O)OC=C,3.573
CC(CC(=O)C)C,2.271
CC(OC(C)C)C,2.085
Cc1cccc(c1)C,3.822
Cc1cccc(c1)O,3.290
Cc1cccc(c1)Cl,3.840
Nc1cccc(c1)Cl,3.979
Cc1cccc(c1)N,3.470
Oc1cccc(c1)O,3.314
COC(=O)CC(=O)OC,4.031
Clc1cc(Cl)cc(c1)Cl,4.740
Brc1ccccc1,4.194
Cc1ccccc1,3.447
Cc1ccncc1,2.364
Clc1ccccc1,3.645
OC1CCCCC1,2.070
O=C1CCCCC1,2.270
Oc1ccccc1,3.513
Cc1cccnc1,2.811
CCOP(=O)(Cc1ccccc1)OCC,2.832
CN1CCNCC1,1.639
Cc1ccccn1,2.016
CC1CNCCN1,1.651
CCCCOC(=O)CCC,4.097
CCCCC(=O)O,3.123
CCCOC(=O)C,3.231
BrCCCBr,5.052
CCCCBr,3.572
CCCCN,2.436
C=CCC#N,2.567
NCCCN,1.795
N#CCC#N,5.072
COCCN,2.156
COCOC,1.037
CCNCC,1.932
c1ccc[nH]1,2.505
C1CCCO1,1.524
c1ccco1,3.048
CC(SSC(C)(C)C)(C)C,5.115
CC(CCC(=O)C)C,2.856
OC(=O)C=CC(=O)O,4.366
CCOC(=O)CCCCCCCCC(=O)OCC,4.976
CCCCCC(=O)C,2.940
CCCCCC,4.538
ClCCCCCl,3.391
CCCCCN,2.692
CCCCC=O,3.825
OCC#CCO,3.206
OCCNCC,1.780
OCCOCC,0.533
C1CCCCC1,3.299
c1cccnc1,2.914
O1COCOC1,1.180
CC(=O)CCC=C(C)C,3.168
CCCCCCC(=O)C,3.446
CCOCCOC(=O)C,3.496
CCCCCCBr,4.680
CCCCCCN,3.252
CCCCCCO,2.980
O=CCCCC=O,3.936
CCCCCCS,5.470
OCCNCCO,1.842
OCCOCCO,0.150
CCCSCCC,3.736
CCCCCCCN,3.719
N#CCCCCC#N,1.749
CCCCCCCO,3.507
CCCCCCC=O,3.979
CCCCCCCCBr,5.363
CCCCCCCCN,4.396
CCCCCCCCO,3.984
OCCOCCOCC,1.020
ClCCOCOCCCl,2.973
CCCCCCCCC(=O)O,3.182
CCCCCCCCCC(=O)C,5.055
CCCCCCCCCN,4.822
OCCOCCOCCO,0.330
CCCCCCCCCCO,4.819
CCCCCCCCCCCO,5.219
CCCCCCCCCCCCO,5.268
CCCCCCCCC=CCCCCCCCC(=O)O,3.139
CC(=O)c1ccncc1,2.858
COC(=O)c1ccc(cc1)Cl,4.191
CCCCOc1ccccc1,4.416
COC(=O)c1ccc(cc1)C#N,3.537
CNC(=O)Oc1ccccc1OC(C)C,4.380
C#CC(O)(C)C,1.408
OCC(Cl)(Cl)Cl,2.936
O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,8.471
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl,5.861
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,5.574
CCOP(=S)(Oc1ccc(cc1)S(=O)C)OCC,3.852
CNC(=O)ON=CC(SC)(C)C,5.244
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,2.548
O=C(c1ccccc1O)Oc1ccccc1,5.276
CCOC(=O)c1ccccc1O,3.924
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,6.379
Brc1cc(Br)c(c(c1)Br)O,4.705
O=N(=O)c1cc(N(=O)=O)c(c(c1)N(=O)=O)C,4.960
Nc1ccc(c(c1)N(=O)=O)C,3.766
Nc1ccc(c(c1)N(=O)=O)O,3.641
O=C(c1ccccc1)c1ccccc1,4.108
N#Cc1c(Cl)cccc1Cl,4.420
Oc1c(O)c(Cl)c(c(c1Cl)Cl)Cl,5.290
OCCN(c1ccccc1)CCO,2.392
CCN(c1ccc(cc1)C=O)CC,3.870
